,booktitle,mean_rating,number_of_ratings,mean_age
382,1st to Die: A Novel,7.789115646,147,39.7414966
2449,A Painted House,7.63681592,201,40.6119403
2620,A Prayer for Owen Meany,8.527777778,108,34.60185185
3227,A Time to Kill,8.110344828,145,35.42758621
3388,A Walk to Remember,7.787037037,108,28.75925926
5641,American Gods,7.927272727,110,32.28181818
15403,Chocolat,8,106,33.50943396
17207,Confessions of a Shopaholic (Summer Display Opportunity),7.901785714,112,31.88392857
23128,Digital Fortress : A Thriller,7.596330275,109,39.82568807
23602,Divine Secrets of the Ya-Ya Sisterhood: A Novel,7.906403941,203,34.2364532
24688,Dreamcatcher,7.296875,128,35.1328125
33355,Girl with a Pearl Earring,8.030864198,162,36.67901235
34005,Good in Bed,8.161676647,167,36.23952096
35507,Hannibal,7.292035398,113,34.92920354
38117,House of Sand and Fog,7.514492754,138,39.83333333
41225,Interview with the Vampire,7.854748603,179,31.66480447
43171,Jurassic Park,7.847133758,157,32.54140127
46898,Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),7.846846847,111,36.97297297
48318,Little Altars Everywhere: A Novel,7.6796875,128,36.546875
52347,Me Talk Pretty One Day,8.006993007,143,34.57342657
52950,Message in a Bottle,7.773109244,119,34.97478992
57297,Nickel and Dimed: On (Not) Getting By in America,8.288288288,111,38.07207207
65285,Red Dragon,8.056,125,32.808
70197,She's Come Undone (Oprah's Book Club (Paperback)),7.701388889,144,35.11805556
70198,She's Come Undone (Oprah's Book Club),7.72327044,159,32.10691824
71281,Skipping Christmas,7.533980583,103,40.44660194
71718,Snow Falling on Cedars,7.979865772,149,37.32885906
74375,Stupid White Men ...and Other Sorry Excuses for the State of the Nation!,8.039215686,102,35.37254902
74588,Summer Sisters,7.762195122,164,34.09146341
74991,Suzanne's Diary for Nicholas,7.80952381,147,38.86394558
77835,The Beach House,7.674418605,129,41.58139535
77845,The Bean Trees,8.203389831,118,35.42372881
78975,The Brethren,7.593220339,118,38.01694915
79031,The Bridges of Madison County,7.617886179,123,35.50406504
79567,The Catcher in the Rye,7.593406593,182,28.2032967
79662,The Chamber,7.579710145,138,37.74637681
79998,The Client,7.945736434,129,37.4496124
81704,The Divine Secrets of the Ya-Ya Sisterhood: A Novel,7.822429907,107,35.56074766
83004,The Firm,8.090277778,144,34.16666667
83094,The Five People You Meet in Heaven,8.08,200,39.69
83846,"The Golden Compass (His Dark Materials, Book 1)",8.535087719,114,31.1754386
84907,The Horse Whisperer,7.429752066,121,40.14876033
85663,The Joy Luck Club,8.127819549,133,33.69924812
85866,The King of Torts,7.547445255,137,42.81751825
88785,The No. 1 Ladies' Detective Agency (Today Show Book Club #8),8.023809524,126,43.62698413
88837,The Notebook,7.977777778,180,34.72777778
89363,The Partner,7.821138211,123,38.1300813
89465,The Pelican Brief,7.81884058,138,37.60869565
89741,The Pilot's Wife : A Novel,7.602484472,161,37.33540373
89878,The Poisonwood Bible: A Novel,8.341463415,123,36.26829268
90548,The Rainmaker,7.64,125,37.936
90621,The Reader,7.513274336,113,36.55752212
91247,The Runaway Jury,7.790697674,129,38.14728682
92912,The Street Lawyer,7.805309735,113,37.61061947
92994,The Summons,7.53038674,181,42.37569061
93370,The Testament,7.604026846,149,40.75838926
94275,"The Vampire Lestat (Vampire Chronicles, Book II)",8.083333333,108,30.12037037
97354,Timeline,7.772727273,154,38.13636364
99054,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",8.538922156,167,37.00598802
103627,Where the Heart Is (Oprah's Book Club (Paperback)),8.237837838,185,35.64324324
103835,White Oleander : A Novel,7.631578947,114,35.93859649
103836,White Oleander : A Novel (Oprah's Book Club),8.047169811,106,34.0754717
104221,Wicked: The Life and Times of the Wicked Witch of the West,7.980392157,102,32.1372549
